,Game,Main quest/main storyline/main objectives,All side quests/side objectives/tracked colectibles,All (free) achievements,All achivement iuncluding paywalled DLC ones,100%
,Portal,yes,(not applicable),,,
,Portal 2,yes,(not applicable),,,
,Undertale,yes,(not applicable),(not applicable),(not applicable),yes
,Subnautica,yes,(not applicable),,,
,Little Nightmare,yes,(not applicable),,,
,Little Nightmare 2,yes,(not applicable),,,
,Firewatch,yes,(not applicable),,,
,Assassin's Creed 2,yes,yes,(not applicable),(not applicable),yes
,Assassin's Creed 4 Black Flag,yes,yes,,,yes
,Inside,yes,(not applicable),(not applicable),(not applicable),yes
,Just Cause 2,yes,,,,
,Just Cause 3,yes,,,,
,Layers of Fear 2,yes,(not applicable),(not applicable on EpicGames),(not applicable on EpicGames),yes
,Stories Untold,yes,(not applicable),(not applicable on EpicGames),(not applicable on EpicGames),yes
,SUPERHOT,yes,,(not applicable on EpicGames),(not applicable on EpicGames),
,Mortal Shell,yes,(not applicable),(not applicable on PlayStation),(not applicable on PlayStation),yes
,The Stanley Parable,yes,(not applicable),(not applicable on EpicGames),(not applicable on EpicGames),yes
,What Remains of Edith Finch,yes,(not applicable),(not applicable on EpicGames),(not applicable on EpicGames),yes
,The Division,yes,,,,
,Watch Dogs,yes,,,,
,Road 96,yes,,,,
,Destiny 2,yes,,,,
,Cyberpunk 2077,yes,yes,yes,,
,Cyberpunk 2077 Phantom Liberty,yes,yes,,,
,Beyond Two Souls,yes,(not applicable),,,
,Assassin's Creed Syndicate,yes,yes,,,
,Little Hope,yes,yes,,,
,Life Is Strange Double Exposure,yes,yes,yes,,
,Rainbow 6 Extraction,yes,yes,yes,yes,yes
,Street of Rogue,yes,(not applicable),yes,yes,yes
,Apex Legends,(not applicable),(not applicable),yes,yes,yes
,Life Is Strange Before the Storm Remastered,yes,(not applicable),yes,yes,yes
,Life Is Strange Remastered,yes,(not applicable),yes,yes,yes
,Life Is Strange 2,yes,(not applicable),yes,yes,yes
,Life Is Strange True Color,yes,(not applicable),yes,yes,yes
,Life Is Strange WaveLength,yes,(not applicable),yes,yes,yes
,The Awersome adventures of Captain Spirit,yes,(not applicable),(not applicable),(not applicable),yes
,Warframe,(still evolving),(still evolving),yes,yes,yes
,Assassin's Creed Valhalla,yes,yes,,,
,Soulframe,(still evolving),(still evolving),,,
,Child of Light,yes,,(not applicable),(not applicable),
,The Witcher 3: Wild Hunt,yes,(map markers out of quest not counting),yes,yes,yes
,The Witcher 3: Wild Hunt (Hearts of Stone DLC),yes,yes,yes,yes,yes
,The Witcher 3: Wild Hunt (Blood and Wine DLC),yes,yes,yes,yes,yes